months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,customer_lifetime_value,income,monthly_premium_auto,total_claim_amount
1,6,2,2,6279.177891973308,30915,72.0,345.6
1,51,0,9,5801.128252,48927,72.0,139.354893
30,32,0,2,9472.973811,0,86.0,412.8
22,93,0,2,10484.91535,61108,89.0,49.451117
24,57,0,1,4387.31087,48015,110.0,528.0
8,78,0,9,4522.883533,0,61.0,292.8
4,83,0,7,5418.152088,57587,68.0,257.090387
7,43,0,7,5246.057249,70301,67.0,328.942798
3,67,0,3,15785.29692,81119,87.59156709558825,940.8
13,66,0,2,6279.177891973308,65724,70.0,14.518312
4,7,0,6,9540.923395,53351,119.0,571.2
0,91,0,1,4756.12617,56146,119.0,401.785805
21,93,0,1,2447.053134,84658,62.0,44.780402
15,14,1,4,5675.923323,33257,72.0,345.6
23,27,0,1,2491.257604,25965,65.0,329.206567
21,20,0,3,7308.433864,31115,92.0,441.6
5,17,0,2,6279.177891973308,78487,117.0,448.255019
0,3,0,3,5228.92013,92472,65.0,240.221415
9,17,0,2,6279.177891973308,0,64.0,460.8
5,86,0,9,5800.171881,25472,73.0,350.4
9,18,0,1,4330.38602,60475,107.0,513.6
9,40,0,7,6292.735356,26577,79.0,73.719521
27,81,0,5,4917.889638,0,71.0,511.2
24,47,0,6,5165.810048,43461,64.0,307.2
2,61,0,6,6291.589959,0,94.0,676.8
10,14,0,1,4582.67415,69085,113.0,472.271907
1,94,0,5,6062.441614,0,84.0,604.8
12,71,0,1,3417.204953,42526,86.0,287.5426
11,36,0,6,5830.561364,0,77.0,783.431945
35,78,1,1,3742.579083,0,110.0,390.03496301912224
10,32,0,1,3849.596697,0,106.0,763.2
17,16,0,2,15265.81488,58361,95.0,43.599861
17,72,0,3,5317.807221,74092,67.0,321.6
2,52,0,1,2374.80917,0,64.0,380.822087
21,50,0,3,5639.941974,73168,70.0,425.800112
16,89,0,1,3362.414442,22853,87.0,316.35678
6,44,0,1,4512.204391,0,125.0,900.0
16,23,0,5,7264.803903,12075,94.0,451.2
23,45,0,4,8658.863813,62464,109.0,400.181882
17,64,0,3,5498.940679,22520,73.0,350.4
0,50,0,6,5599.382893,35012,72.0,345.6
6,52,0,2,15228.19865,95140,126.0,45.049185
1,69,0,1,3644.833554,82477,90.0,432.0
4,25,1,1,3693.440833,85871,92.0,112.633539
15,18,0,2,8742.05776,71592,72.0,141.725051
31,99,0,9,5275.626956,70446,65.0,155.570802
20,60,0,1,9283.737773,24314,87.59156709558825,390.03496301912224
15,67,0,1,2551.226692,79751,63.0,392.235698
21,58,0,3,5811.918112,83318,72.0,345.6
8,70,0,1,4064.670639,26161,109.0,594.444586
20,35,0,1,2841.443088,30473,72.0,450.080101
6,67,0,3,6832.133872,50472,87.0,281.163705
20,50,0,3,5201.971427,94186,64.0,135.340489
17,65,0,4,5484.588155,47611,69.0,593.654484
17,56,0,4,7672.681366,0,103.0,518.720216
16,50,0,2,8272.485353,91245,69.0,19.251693
20,4,0,1,3330.672761,45944,83.0,182.948495
33,71,1,8,5562.456386,59649,69.0,167.738267
2,90,0,1,2452.738575,52785,61.0,45.721456
20,72,0,2,7920.28288,59648,66.0,316.8
3,54,0,1,3861.486269,93272,95.0,281.110788
13,81,0,3,5764.784159,22134,72.0,445.879224
17,38,0,3,5375.842787,69050,67.0,334.892437
18,73,0,1,2882.350556,87798,71.0,204.448708
0,66,0,1,2213.187935,0,63.0,305.552429
24,10,0,4,9429.629367,43811,117.0,571.136574
25,63,0,3,6239.257541,0,91.0,655.2
8,3,0,4,7668.809595,92456,95.0,456.0
23,21,0,2,13770.97618,59207,116.0,556.8
6,29,1,1,2742.844251,64519,69.0,331.2
11,9,0,2,13466.92071,11432,119.0,571.2
6,28,0,2,8858.352032,0,80.0,81.255741
27,79,1,8,8485.330004,32607,111.0,532.8
4,14,0,1,7744.644444,26444,87.59156709558825,940.8
6,55,1,7,5894.907375,39381,74.0,355.2
21,67,0,8,5770.684097,0,83.0,946.345269
14,88,1,5,5261.117506,90217,66.0,316.8
33,82,3,1,2403.53947,24248,70.0,336.0
34,6,0,3,9124.600015,99368,113.0,82.427785
10,17,1,2,6279.177891973308,68189,82.0,343.121192
31,84,0,2,15641.25856,32370,130.0,487.736171
23,73,0,1,2574.020376,34990,65.0,42.689135
17,57,0,5,5319.838729,25714,67.0,321.6
17,64,0,8,7496.006588,61091,95.0,409.868003
5,97,3,2,12174.58958,88184,104.0,240.176533
10,8,0,1,2605.570828,60252,65.0,182.436205
0,52,0,1,2707.20846,80985,67.0,124.933587
16,31,0,9,5528.212807,36088,72.0,345.6
23,25,1,8,8819.018934,99845,110.0,528.0
17,44,0,2,6279.177891973308,29822,61.0,292.8
8,19,3,2,8169.513982,40803,71.0,122.912377
21,95,3,8,7708.883885,71134,98.0,196.37368
16,31,0,9,5528.212807,36088,72.0,345.6
29,35,0,2,12128.4467,29431,103.0,237.896227
16,63,0,8,9080.28284,68073,114.0,547.2
1,27,0,2,6796.844769,17937,65.0,312.0
19,18,0,1,2867.312197,23376,78.0,374.4
1,9,0,1,2395.57,21986,63.0,333.696228
30,22,0,7,7094.167717,23032,89.0,427.2
22,50,0,1,4128.091334,32114,104.0,445.29049
33,74,0,1,4046.936065,13330,117.0,561.6
9,60,0,4,4869.282783,44934,61.0,357.926979
17,34,2,1,2902.151897,96137,73.0,67.490616
16,70,1,1,4282.947971,40864,109.0,166.937747
5,34,1,2,7750.120323,22668,67.0,33.718553
2,22,1,8,6627.174629,90751,82.0,315.826382
9,96,2,2,7474.605769,44186,64.0,295.04969
0,67,0,3,5561.291397,92678,70.0,34.689611
16,91,0,3,6098.462114,74257,76.0,214.586742
2,22,0,1,2859.52893,99981,71.0,204.872273
26,89,0,6,5994.424627,0,91.0,655.2
8,79,0,4,5635.249486,19591,74.0,95.925021
2,80,0,1,5067.208338,29095,127.0,664.280864
25,15,0,1,2263.284608,0,62.0,389.750793
25,89,0,2,14435.67365,60880,119.0,109.906628
31,47,0,5,4928.397077,61785,61.0,271.10697
17,61,0,2,12036.62051,44428,104.0,499.2
29,29,0,9,8564.768226,95697,107.0,178.006524
10,45,2,1,2361.883909,18064,63.0,182.964184
15,99,0,3,5565.693282,74720,70.0,200.812425
22,41,0,3,5146.80976,22594,67.0,321.6
6,15,0,1,2938.080327,40987,73.0,329.013275
1,31,0,2,14432.74644,24561,126.0,853.473552
27,34,1,2,13027.41984,76456,83.0,42.693918
22,3,0,1,2451.988783,65828,62.0,297.6
0,48,1,5,4661.984144,0,68.0,489.6
8,48,0,5,5600.010179,63621,70.0,444.620265
33,42,0,1,4016.132772,10074,107.0,108.995934
3,78,0,2,6279.177891973308,78965,87.59156709558825,145.587985
16,57,0,2,7343.353716,0,68.0,479.028818
4,86,0,8,4804.514274,23604,64.0,460.8
7,21,0,1,2735.538859,99205,68.0,323.246017
4,60,0,3,6940.972823,0,92.0,441.6
6,71,2,1,2396.219292,0,66.0,433.160284
0,13,0,9,5380.898636,55350,67.0,321.6
12,55,0,5,8432.815731,21052,111.0,453.578343
5,64,0,2,7556.507482,0,69.0,496.8
12,15,0,2,7787.431684,24664,69.0,496.8
15,83,0,1,4787.812897,45225,124.0,209.176923
6,77,0,2,9707.647552,30430,86.0,425.662574
26,33,0,1,2552.226197,35149,64.0,120.477298
23,37,0,6,5223.429265,16513,71.0,340.8
16,9,0,3,5010.44933,10892,66.0,316.8
16,50,0,1,5597.12496,37995,139.0,667.2
6,75,0,1,4457.936252,54704,113.0,468.176056
22,62,0,2,8200.78728,25381,71.0,340.8
5,75,0,1,2746.080105,0,74.0,355.2
17,34,0,2,10215.77915,18150,67.0,220.304649
3,92,0,1,2453.570794,29735,69.0,331.2
30,39,0,7,5872.958817,77156,73.0,445.817914
6,38,0,1,3118.927949,88782,78.0,357.757645
14,10,0,1,5568.656492,51489,139.0,236.739322
17,89,0,5,9029.71466,16972,125.0,600.0
16,19,0,9,7591.827171,99359,95.0,233.265397
18,92,4,1,2255.312942,58289,62.0,297.6
20,57,0,2,6279.177891973308,45173,87.59156709558825,390.03496301912224
31,24,0,2,9445.649461,93246,78.0,41.628869
16,29,0,1,6803.596768,43758,87.59156709558825,390.03496301912224
23,60,0,2,9766.217126,75651,81.0,375.11129
13,91,0,2,7294.846132,0,67.0,321.6
32,31,0,3,5682.515346,36938,70.0,244.801119
12,65,0,3,6332.941818,50843,82.0,393.6
6,47,0,3,4916.577034,21907,62.0,2.96438
8,45,0,1,4798.240889,77846,119.0,342.471939
3,43,1,2,10408.96865,20228,101.0,523.815839
14,24,0,2,9247.464417,97030,76.0,416.637499
5,30,0,1,7322.92885,80864,87.59156709558825,618.210272
10,61,0,6,8275.900104,48197,106.0,508.8
7,19,4,3,5635.403677,70837,73.0,362.743231
7,91,0,2,14970.28509,85297,93.0,620.011594
12,34,0,8,9336.336922,70177,115.0,225.517666
0,61,0,2,6279.177891973308,52499,138.0,390.03496301912224
31,85,0,3,5686.915259,63143,71.0,340.8
6,85,0,2,8622.835375,97361,73.0,350.4
6,50,0,1,5079.674786,50052,130.0,624.0
20,92,0,5,5623.314472,11612,71.0,340.8
1,12,0,4,5270.013569,78115,65.0,255.454322
12,78,0,2,8621.172176,81947,71.0,203.993499
0,88,4,1,7918.334928,44698,87.59156709558825,390.03496301912224
12,53,0,2,6279.177891973308,26876,66.0,219.209762
0,66,0,7,15417.6822,69841,87.59156709558825,878.812468
22,14,0,2,8692.636838,97768,72.0,151.843731
6,12,0,1,6503.143913,0,87.59156709558825,390.03496301912224
17,90,0,2,6279.177891973308,89057,98.0,187.363583
18,2,0,9,5914.951808,50217,74.0,355.2
3,33,0,3,4645.839058,0,71.0,697.186307
13,26,0,2,6826.797741,0,68.0,489.6
26,49,1,1,3982.180708,38500,99.0,423.286512
21,0,0,1,2887.779742,62018,71.0,293.865315
13,84,0,1,2252.416825,0,65.0,468.0
8,11,0,3,8458.531323,57394,106.0,316.492058
22,34,0,2,7478.313695,23530,65.0,312.0
26,25,0,1,3788.649817,48887,95.0,456.0
19,91,0,1,5220.685297,68867,129.0,619.2
3,42,0,2,7130.294828,12062,63.0,302.4
11,56,0,5,8513.592687,59230,107.0,245.076091
6,70,0,3,5660.133806,59586,72.0,91.198362
24,43,0,1,4082.170583,57506,102.0,615.243841
3,0,0,6,5318.89664,25134,67.0,321.6
3,58,0,5,4160.162571,0,61.0,292.8
19,44,0,1,2237.347771,0,61.0,292.8
15,96,1,1,3460.12299,0,100.0,720.0
15,56,2,2,16005.50507,44901,70.0,460.806124
21,8,0,3,6986.603722,0,93.0,149.269407
0,45,2,7,8826.961501,28463,113.0,324.317667
28,49,0,1,4726.869327,13037,124.0,839.348464
4,2,1,2,6279.177891973308,82320,99.0,475.2
9,58,0,7,7247.313475,0,104.0,499.2
3,93,0,4,5137.852105,78460,64.0,203.568733
26,11,4,1,2739.05724,0,92.0,657.290491
34,12,0,3,5092.793862,46922,64.0,403.385123
29,67,0,7,5799.826802,60689,74.0,5.746657
3,38,0,3,5507.063242,0,71.0,340.8
22,93,0,2,10484.91535,61108,89.0,49.451117
4,46,0,7,8501.279969,98003,107.0,449.408637
30,37,0,2,8426.057283,0,74.0,460.084192
1,9,0,6,6503.397049,22081,84.0,451.670309
8,61,1,2,6279.177891973308,83006,87.59156709558825,390.03496301912224
31,69,4,6,4834.710493,38713,66.0,316.8
2,65,3,1,2575.3237,28700,68.0,326.4
1,95,0,2,6279.177891973308,61552,115.0,12.252847
7,95,1,1,4371.190437,56718,113.0,542.4
11,45,0,2,6279.177891973308,66776,71.0,131.808343
12,82,0,2,7988.506358,58268,67.0,228.641342
22,43,0,1,2269.841123,0,68.0,542.016902
23,72,1,3,4991.47197,12608,66.0,214.866605
21,79,0,1,2921.930882,63499,73.0,278.964095
35,29,0,7,7613.193095,36247,96.0,329.522858
28,44,0,5,5827.409742,30228,73.0,163.345647
19,4,0,1,2600.641181,0,74.0,501.472124
3,97,0,3,8491.465719,0,116.0,390.03496301912224
3,37,0,5,9778.733613,99364,121.0,580.8
19,50,0,2,6279.177891973308,23665,67.0,404.817249
7,4,0,2,10004.02761,0,94.0,807.168846
12,64,1,3,4872.774396,69247,61.0,226.522147
26,29,0,5,7444.814633,56047,92.0,82.733588
11,76,0,5,5761.11121,28919,73.0,207.828024
5,29,0,4,5366.779081,0,70.0,223.174067
8,78,0,4,6259.477847,0,83.0,254.142365
23,68,0,2,7623.580733,69900,64.0,33.97
33,91,0,1,10963.95723,55687,87.59156709558825,390.03496301912224
6,35,0,3,7427.845088,78294,92.0,181.148732
9,33,1,4,4951.656084,46896,62.0,31.707317
26,62,0,3,4665.129599,0,62.0,297.6
11,46,0,1,6021.842473,0,168.0,390.03496301912224
25,33,3,1,3074.105486,0,104.0,748.8
14,37,0,1,4953.086407,21385,127.0,609.6
26,45,0,3,7780.489322,87128,97.0,495.612777
19,26,0,2,7992.779105,35434,66.0,297.051768
28,23,1,1,4170.687348,29462,107.0,513.6
26,96,3,2,6279.177891973308,53243,102.0,489.6
14,9,1,1,5445.81699,21006,139.0,667.2
24,93,0,9,4558.498445,0,65.0,312.0
16,31,0,9,5528.212807,36088,72.0,345.6
7,57,0,3,10390.66647,28948,131.0,295.83086
22,25,0,1,7142.54905,24417,87.59156709558825,888.0
11,24,0,6,5469.542959,67099,69.0,22.995594
3,61,0,2,11628.73401,97830,96.0,298.362415
15,90,0,2,10189.65429,0,101.0,727.2
19,5,0,1,2733.431887,93558,67.0,478.234236
9,17,0,1,4014.453113,37384,99.0,475.2
14,24,0,2,7119.531925,28227,62.0,551.28213
5,95,0,2,11772.79068,51008,74.0,355.2
23,54,0,1,2381.790787,78185,61.0,292.8
35,2,0,3,5208.35385,0,74.0,532.8
34,68,0,4,5018.727893,0,68.0,670.47746
22,40,2,2,11900.54484,97205,100.0,5.573179
28,34,0,6,7399.032079,0,101.0,337.617149
18,25,1,7,5674.381244,26225,72.0,320.777404
23,86,0,2,7271.43404,20545,70.0,336.0
20,32,0,1,3164.494011,0,83.0,398.4
14,95,0,1,2661.033435,35503,67.0,216.173135
3,76,0,2,14140.55885,58988,118.0,566.4
16,89,1,2,7654.227067,0,74.0,355.2
21,5,0,1,2199.73952,0,64.0,685.456738
16,35,4,1,2004.350666,0,66.0,316.8
2,9,0,2,13111.11319,67197,111.0,147.948783
31,15,0,7,15762.60349,39032,87.59156709558825,950.4
19,2,3,2,13197.92893,0,68.0,326.4
5,2,0,1,2787.539793,34927,70.0,242.491357
25,43,0,1,3436.134281,30817,88.0,91.834668
27,46,0,1,2713.36798,31535,70.0,90.525716
19,18,0,1,2867.312197,23376,78.0,374.4
8,3,0,2,14590.24583,46244,62.0,255.285875
3,40,0,5,6652.474492,34886,84.0,403.2
27,51,0,1,2444.621056,0,66.0,316.8
29,27,0,7,11314.24394,62935,141.0,232.242326
2,40,0,5,10972.06778,24164,137.0,657.6
6,3,0,1,3189.66703,0,87.0,760.428495
20,66,1,2,6279.177891973308,0,68.0,326.4
1,99,0,2,7227.120364,40153,61.0,340.07498
12,7,0,3,7857.303868,0,104.0,499.2
5,80,0,6,5181.620895,97131,64.0,307.2
2,12,0,1,4281.062223,23712,106.0,508.8
26,72,0,2,11513.16291,0,64.0,307.2
27,17,0,3,5147.11023,33171,65.0,236.643695
18,90,1,2,8663.497618,0,83.0,398.4
24,73,0,1,2535.321683,0,68.0,326.4
23,28,1,2,6279.177891973308,60228,112.0,286.102971
24,27,0,8,7349.32849,27072,93.0,565.336931
3,63,0,2,8509.850887,26057,74.0,523.888845
0,74,0,1,4297.189057,66331,107.0,513.6
33,19,1,1,2778.323903,66030,69.0,282.153792
6,93,1,3,5532.863336,59768,71.0,340.8
22,21,0,2,6279.177891973308,45106,73.0,350.4
11,19,0,4,10479.89966,78435,130.0,553.61131
31,99,1,1,2242.574431,0,63.0,453.6
7,17,3,1,2754.45676,79507,70.0,442.199439
14,83,0,3,8041.20055,44986,101.0,624.023564
10,11,0,8,6042.9119,25899,79.0,568.8
7,64,0,1,2827.43885,13610,74.0,355.2
11,15,0,2,6279.177891973308,0,65.0,312.0
14,25,0,1,2796.802191,77362,70.0,386.599797
1,17,0,1,4072.849436,96443,102.0,489.6
2,41,1,1,5182.462266,0,135.0,939.528475
31,29,0,7,6131.663176,90778,76.0,62.291009
11,62,0,1,2392.13114,0,65.0,361.181122
6,40,0,1,3209.663044,78494,79.0,122.305677
28,15,0,1,2808.606027,83497,69.0,196.523187
6,74,0,1,4362.931238,58842,110.0,528.0
20,63,0,6,6880.468875,63935,87.0,221.61885
5,35,0,1,3591.066675,0,96.0,460.8
1,79,0,4,5201.252168,0,69.0,331.2
20,89,0,9,5521.542577,0,77.0,369.6
14,17,0,5,5071.651522,62258,65.0,117.450428
10,81,0,1,2921.681366,0,80.0,739.310493
14,75,0,2,15806.53397,58516,98.0,470.4
30,22,0,7,4942.630606,23285,65.0,118.446235
29,82,0,1,4167.419574,56901,104.0,499.2
12,75,1,2,6514.954043,0,61.0,292.8
6,6,4,5,9189.518267,99443,117.0,228.049424
4,70,0,4,8231.223361,0,113.0,373.073162
3,27,1,1,3095.175379,88246,77.0,428.608683
1,34,0,2,6279.177891973308,0,87.59156709558825,390.03496301912224
23,19,0,2,7582.113842,64801,64.0,268.471802
24,97,0,2,16344.60809,57029,68.0,135.788525
7,99,0,2,11763.15249,28045,99.0,475.2
2,1,0,1,4053.373793,44661,101.0,436.836944
19,51,0,1,3311.15793,21246,83.0,398.4
24,95,4,1,3528.044252,31278,92.0,441.6
25,29,0,3,5595.389905,74454,71.0,340.8
20,63,0,5,5089.694325,62474,63.0,112.120881
9,43,0,2,6279.177891973308,0,130.0,390.03496301912224
17,10,0,7,4792.830533,20647,63.0,185.061408
32,59,0,2,6279.177891973308,33806,89.0,395.729716
9,96,0,2,7511.660568,0,70.0,340.201412
13,55,0,2,6279.177891973308,0,111.0,900.14526
26,44,0,1,4987.643113,19589,127.0,390.03496301912224
9,37,1,9,5123.196814,22338,67.0,307.801098
33,24,0,1,5989.773931,66839,154.0,739.2
16,25,1,5,5185.797582,99428,64.0,48.046869
28,47,0,3,5828.1822,31364,74.0,461.269135
12,47,0,2,13755.54279,15340,121.0,686.501976
7,84,0,8,9767.936882,36225,123.0,221.048602
18,79,0,2,12097.91224,0,107.0,271.014511
5,21,0,1,2265.318569,0,61.0,292.8
27,48,0,6,5719.088678,77601,71.0,276.640352
34,2,0,2,10171.47779,74243,84.0,71.311211
7,9,0,8,10517.15638,46707,133.0,80.70505
6,63,0,1,4303.471379,0,116.0,765.566699
12,1,0,2,11926.75329,50234,101.0,484.8
26,68,1,2,6279.177891973308,75526,103.0,494.4
30,38,0,7,13579.29911,0,87.59156709558825,390.03496301912224
19,88,0,8,5437.443727,28343,69.0,331.2
23,43,0,8,5103.296644,74948,64.0,216.744457
28,81,0,1,4583.100889,22728,116.0,556.8
14,48,2,9,6409.627461,0,99.0,712.8
13,39,0,6,8991.98452,17331,117.0,390.03496301912224
2,31,0,2,12232.77625,35133,102.0,692.962785
1,91,0,4,5126.038871,63147,64.0,87.565229
27,85,0,2,11014.1636,67575,91.0,401.60781
29,76,0,1,3819.619502,0,111.0,799.2
34,56,0,2,8404.395122,48315,71.0,340.8
20,44,0,9,9035.671134,34337,113.0,542.4
6,34,4,3,5453.707634,33818,72.0,341.878002
30,63,0,1,3766.366587,22439,98.0,470.4
32,24,1,1,7283.934392,79055,87.59156709558825,177.635183
18,34,0,1,2745.249838,45191,69.0,330.782934
23,19,0,1,2626.279436,41990,66.0,316.8
25,45,1,1,2456.816647,50979,61.0,262.842655
6,14,0,3,8453.677668,59888,106.0,712.682559
19,96,1,1,3508.569533,20978,98.0,390.03496301912224
10,10,0,1,2877.354255,32807,73.0,350.4
7,24,2,1,7840.165778,58414,87.59156709558825,390.03496301912224
3,32,0,1,2771.045031,50071,71.0,18.918935
7,24,4,8,5339.488286,67796,69.0,331.2
30,47,0,1,6837.536476,90750,170.0,746.0459
6,61,0,2,13024.13012,0,125.0,900.0
16,37,0,3,5659.238384,69387,71.0,71.517444
14,59,1,3,5532.462342,29084,71.0,492.088331
8,16,1,4,7943.513275,60214,100.0,291.287905
8,60,0,3,9774.605777,96018,122.0,390.88142
28,10,2,2,13596.19972,20128,70.0,336.0
29,63,0,2,6279.177891973308,60233,116.0,481.265179
18,95,0,3,7325.892726,52920,93.0,390.03496301912224
9,39,0,1,4170.340729,90310,104.0,166.355491
7,24,2,1,7840.165778,58414,87.59156709558825,390.03496301912224
24,8,0,2,6279.177891973308,99790,64.0,178.986788
35,14,0,2,6279.177891973308,21159,73.0,350.4
24,12,0,1,2638.140052,79699,65.0,348.82656
2,75,0,6,9148.877887,68236,114.0,20.725611
23,21,0,2,13770.97618,59207,116.0,556.8
34,28,1,3,10515.96779,21499,135.0,648.0
35,58,0,1,5821.684337,77563,143.0,545.999699
15,44,0,1,3095.803437,33415,78.0,374.4
29,0,1,5,10598.54249,20179,133.0,638.4
4,37,0,3,7695.122957,50147,101.0,484.8
34,88,0,7,6819.23119,22492,85.0,61.654262
25,57,5,2,8689.822524,0,99.0,475.2
9,43,2,4,8131.779152,93715,102.0,254.83769
30,23,2,1,3815.321577,23540,103.0,494.4
10,77,0,2,11638.89947,25370,102.0,489.6
10,70,0,2,6279.177891973308,68771,96.0,276.268778
35,52,3,5,4462.997006,0,73.0,350.4
29,52,0,2,13151.83203,68562,108.0,228.498823
21,28,0,2,14019.97546,36733,71.0,327.078047
33,27,0,1,2931.155192,45768,73.0,191.934494
34,47,0,7,4774.751709,0,64.0,307.2
13,76,0,2,8471.417471,63513,70.0,185.667213
19,19,0,5,5431.219117,58161,68.0,140.747286
20,13,0,4,5689.644114,83640,70.0,471.050488
2,88,0,1,3686.723847,0,96.0,28.460568
35,68,0,1,3992.583886,0,111.0,700.349052
13,29,0,1,3479.137523,0,104.0,499.2
8,11,0,1,2502.637401,0,66.0,3.468912
10,69,0,1,3265.156348,25820,82.0,393.6
16,64,0,1,4455.843406,0,121.0,699.615192
25,13,2,3,7704.95848,30366,101.0,484.8
8,34,0,1,2750.705045,51789,70.0,336.0
6,61,0,2,13024.13012,0,125.0,900.0
13,24,0,1,2538.62632,18608,71.0,340.8
27,34,0,1,2585.955652,83758,64.0,106.591949
9,81,0,3,5096.673223,22886,65.0,312.0
18,84,0,2,10083.48688,11828,90.0,571.479602
14,11,0,6,4943.386117,44762,62.0,114.51444
12,60,0,1,6516.214888,0,87.59156709558825,390.03496301912224
24,10,3,9,8838.085637,82664,114.0,133.425609
7,57,0,1,3810.238281,0,108.0,777.6
1,21,0,2,6334.466403,0,63.0,302.4
12,51,1,2,11665.09779,84978,72.0,166.77296
2,40,0,5,10972.06778,24164,137.0,657.6
5,10,0,8,6006.963446,0,80.0,488.910614
34,32,0,1,2656.713092,62777,67.0,101.288069
22,96,0,1,2359.423599,19864,63.0,352.394515
17,61,0,2,12036.62051,44428,104.0,499.2
15,93,0,5,8467.387317,21139,113.0,656.798232
4,52,0,2,9392.557553,0,88.0,851.146266
29,57,0,5,5227.230377,11896,69.0,476.254583
35,87,1,1,2693.75925,0,73.0,350.4
7,38,0,1,2227.072755,27972,61.0,292.8
26,98,0,1,2326.864833,0,62.0,624.711448
12,6,0,2,6279.177891973308,38399,106.0,368.890904
19,13,0,8,5016.827946,20868,63.0,134.629643
30,49,0,3,7757.924239,49682,101.0,198.84453
2,74,0,3,8609.158215,79090,107.0,289.040734
1,75,0,1,5275.056933,81850,132.0,429.860895
17,27,0,8,5746.32619,22906,76.0,519.883102
15,85,1,1,2705.987629,0,83.0,398.4
12,1,2,9,6186.265217,37138,83.0,417.28389
32,35,0,2,6279.177891973308,0,71.0,511.2
32,8,1,9,6277.844624,21024,82.0,450.129276
25,80,0,9,7215.821106,0,103.0,741.6
3,37,3,8,6514.430592,77135,84.0,98.372265
3,19,0,2,6279.177891973308,0,109.0,718.700718
3,70,0,1,4216.19522,0,114.0,820.8
13,28,0,2,13158.37206,72845,108.0,463.000336
29,32,0,1,2917.539465,51622,74.0,355.2
25,79,0,2,6355.678846,0,61.0,292.8
20,96,1,2,13269.59942,15616,114.0,547.2
31,25,0,8,5880.256499,0,82.0,590.4
28,90,5,5,5926.729379,23091,96.0,460.8
7,8,3,3,4121.252137,0,67.0,482.4
11,76,4,2,7956.152761,22699,74.0,355.2
13,3,0,2,6279.177891973308,14072,71.0,511.2
0,41,0,2,6279.177891973308,81713,74.0,332.224293
26,46,0,2,6279.177891973308,56516,87.59156709558825,955.2
21,31,0,3,5132.684537,0,73.0,525.6
11,44,0,3,4759.624343,26747,61.0,404.074203
8,68,0,1,2637.942355,63422,66.0,355.922452
1,9,0,6,6503.397049,22081,84.0,451.670309
14,70,0,4,12786.66898,0,87.59156709558825,390.03496301912224
17,89,2,1,3147.973444,29698,83.0,215.884804
23,62,0,3,5618.485357,24518,74.0,241.656325
0,41,0,1,3230.576665,62873,81.0,207.75186
26,99,0,3,7434.675149,28377,94.0,451.2
0,81,0,2,11714.78278,21102,100.0,480.0
12,57,2,1,2009.772923,0,65.0,312.0
2,43,0,3,6625.472768,0,88.0,539.280951
8,86,0,7,9567.711298,81410,119.0,221.188327
18,59,0,2,6279.177891973308,27869,67.0,482.4
6,28,0,2,12157.32992,57449,103.0,494.4
2,36,0,1,2956.358303,40901,74.0,13.628274
7,4,0,1,3963.394851,88701,99.0,171.830049
14,78,0,7,10896.04838,29365,137.0,657.6
26,33,0,3,6081.048248,0,82.0,393.6
9,72,0,2,6279.177891973308,0,103.0,390.03496301912224
17,5,2,8,5737.233278,56455,73.0,350.4
25,56,0,2,6279.177891973308,35095,73.0,525.6
9,62,1,8,10915.35877,0,155.0,390.03496301912224
3,38,0,1,3808.122147,94903,94.0,451.2
22,24,0,7,5408.911507,80192,67.0,95.193157
15,11,0,2,13419.39623,0,122.0,827.786203
3,72,3,1,3237.996209,60244,83.0,326.281835
21,19,0,2,10357.62776,52735,65.0,123.512596
12,36,0,2,11619.91802,78275,72.0,25.336642
8,54,0,3,8209.054963,77282,102.0,489.6
14,28,0,1,3096.511217,21604,79.0,379.2
8,2,4,1,4804.35851,51962,125.0,788.206874
4,67,0,9,4786.054889,0,68.0,489.6
30,47,1,6,15886.03136,56362,87.59156709558825,945.6
23,14,1,8,5285.079293,85753,66.0,316.8
9,79,3,1,2945.370362,36167,76.0,364.8
5,28,1,6,6279.177891973308,68568,87.59156709558825,390.03496301912224
21,59,0,3,10208.92761,35482,129.0,619.2
12,68,1,2,6279.177891973308,92079,65.0,114.798771
0,84,0,3,5247.852585,0,77.0,554.4
29,6,2,1,5179.55248,0,165.0,390.03496301912224
32,24,0,1,4513.435299,34558,113.0,376.529086
11,44,0,5,5297.625945,14775,69.0,170.939409
13,11,0,9,5377.014781,35637,68.0,326.4
3,60,1,7,7661.388132,66726,97.0,335.840529
29,86,0,1,2677.279707,0,72.0,345.6
25,71,0,6,6877.817669,0,96.0,460.8
12,87,0,6,5714.232848,79719,71.0,425.924132
27,52,0,7,4929.549699,25632,63.0,351.270869
22,93,0,2,10484.91535,61108,89.0,49.451117
34,77,0,4,9490.406534,0,137.0,657.6
25,54,1,3,7805.31287,21073,106.0,508.8
8,38,0,2,6279.177891973308,17932,79.0,379.2
5,85,0,4,5838.89915,81082,73.0,281.295903
7,17,0,1,2677.495763,71684,66.0,196.065149
8,48,0,1,2374.798861,57338,61.0,292.8
35,48,0,2,6279.177891973308,0,102.0,489.6
4,13,0,1,2427.770513,24409,62.0,297.6
14,20,0,3,7294.40195,83488,90.0,432.784577
29,7,0,2,11360.46496,0,104.0,773.346065
19,64,1,1,2811.956395,62537,71.0,354.199664
28,22,0,5,4386.277558,10621,67.0,321.6
27,79,0,9,6446.918637,43478,80.0,384.0
